area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,1 Year,Vijayanagar,3 BHK,,1804,4.0,3.0,102.34
Plot Area,1 Year,Whitefield,3 BHK,,1625,4.0,0.0,98.72
Plot Area,Ready To Move,Yeshwanthpur,2 BHK,,1012,2.0,2.0,67.16
Built-up Area,1 Year,Devanahalli,2 BHK,,1233,3.0,3.0,53.32
Built-up Area,6 months,Basaveshwara Nagar,4 BHK,,2713,5.0,0.0,190.74
Super built-up Area,1 Year,Mysore Road,3 BHK,,1677,3.0,1.0,70.55
Super built-up Area,1 Year,Yeshwanthpur,4 BHK,,2103,4.0,0.0,130.71
Carpet Area,Ready To Move,Brookefield,2 BHK,,1035,3.0,2.0,60.67
Built-up Area,Ready To Move,Hennur,3 BHK,,1367,3.0,1.0,67.9
Super built-up Area,Ready To Move,Kanakapura Road,3 BHK,,1740,3.0,0.0,83.61
Plot Area,1 Year,Kanakapura Road,2 BHK,,1394,2.0,3.0,68.55
Super built-up Area,Ready To Move,Jayanagar,3 BHK,,1961,3.0,0.0,137.09
Plot Area,Ready To Move,Tumkur Road,3 BHK,,2023,3.0,3.0,83.09
Plot Area,1 Year,Tumkur Road,2 BHK,,1210,3.0,3.0,40.73
Plot Area,1 Year,Yelahanka,2 BHK,,1140,3.0,0.0,62.8
Carpet Area,1 Year,BTM Layout,3 BHK,,2092,3.0,2.0,119.08
Built-up Area,6 months,Hosur Road,4 BHK,,2247,4.0,3.0,98.19
Carpet Area,6 months,Hosur Road,2 BHK,,1358,3.0,2.0,66.68
Super built-up Area,1 Year,BTM Layout,2 BHK,,1280,2.0,3.0,80.96
Super built-up Area,Ready To Move,Hosur Road,2 BHK,,1065,3.0,3.0,45.17
Built-up Area,1 Year,Kengeri,3 BHK,,1727,4.0,0.0,64.18
Built-up Area,6 months,Yeshwanthpur,2 BHK,,1092,3.0,3.0,72.65
Super built-up Area,Ready To Move,Malleswaram,5 BHK,,2420,5.0,1.0,162.24
Built-up Area,6 months,Uttarahalli,2 BHK,,1078,2.0,0.0,36.34
Built-up Area,6 months,Brookefield,2 BHK,,1344,2.0,1.0,79.52
Plot Area,6 months,Indiranagar,3 BHK,,1914,3.0,1.0,160.36
Carpet Area,6 months,Electronic City,4 BHK,,2077,4.0,3.0,110.14
Carpet Area,Ready To Move,Kengeri,3 BHK,,1625,4.0,2.0,70.39
Carpet Area,1 Year,Marathahalli,2 BHK,,1208,3.0,0.0,75.36
Plot Area,Ready To Move,Vijayanagar,5 BHK,,2770,6.0,2.0,175.54
Plot Area,1 Year,JP Nagar,1 BHK,,575,2.0,0.0,39.21
Built-up Area,1 Year,Marathahalli,4 BHK,,2498,4.0,1.0,129.23
Built-up Area,Ready To Move,Horamavu,2 BHK,,1133,3.0,3.0,50.43
Plot Area,1 Year,HSR Layout,3 BHK,,1493,3.0,3.0,108.56
Plot Area,Ready To Move,Brookefield,3 BHK,,1740,3.0,3.0,99.03
Super built-up Area,Ready To Move,Tumkur Road,2 BHK,,1078,2.0,2.0,37.01
Plot Area,1 Year,Bellandur,4 BHK,,2090,5.0,3.0,125.54
Plot Area,1 Year,Horamavu,1 BHK,,532,2.0,3.0,26.72
Carpet Area,6 months,Devanahalli,2 BHK,,1119,2.0,2.0,46.67
Super built-up Area,1 Year,JP Nagar,3 BHK,,2014,3.0,2.0,133.31
Carpet Area,1 Year,Devanahalli,2 BHK,,1267,2.0,3.0,56.05
Carpet Area,1 Year,Vijayanagar,3 BHK,,1850,3.0,3.0,100.22
Super built-up Area,Ready To Move,Koramangala,1 BHK,,567,1.0,1.0,45.53
Super built-up Area,6 months,Uttarahalli,2 BHK,,900,3.0,3.0,32.54
Super built-up Area,6 months,Tumkur Road,2 BHK,,1070,3.0,2.0,41.49
Built-up Area,Ready To Move,BTM Layout,2 BHK,,1306,2.0,0.0,86.45
Super built-up Area,1 Year,Tumkur Road,3 BHK,,1641,4.0,3.0,67.64
Carpet Area,1 Year,Marathahalli,3 BHK,,1772,3.0,0.0,95.43
Super built-up Area,Ready To Move,Yeshwanthpur,4 BHK,,2004,5.0,3.0,103.59
Built-up Area,6 months,Mysore Road,4 BHK,,2715,4.0,3.0,119.85
Carpet Area,Ready To Move,Bannerghatta Road,2 BHK,,1361,3.0,1.0,68.31
Super built-up Area,Ready To Move,BTM Layout,2 BHK,,973,3.0,3.0,51.18
Super built-up Area,1 Year,Indiranagar,2 BHK,,1262,3.0,2.0,100.54
Carpet Area,Ready To Move,Bellandur,2 BHK,,937,2.0,3.0,58.75
Carpet Area,Ready To Move,Hennur,3 BHK,,1798,4.0,0.0,92.82
Super built-up Area,Ready To Move,HSR Layout,1 BHK,,494,1.0,3.0,39.44
Built-up Area,1 Year,Horamavu,2 BHK,,972,2.0,2.0,39.66
Carpet Area,1 Year,Bannerghatta Road,4 BHK,,1804,4.0,3.0,91.39
Plot Area,6 months,HSR Layout,3 BHK,,2055,4.0,0.0,148.04
Super built-up Area,6 months,Koramangala,2 BHK,,1314,3.0,3.0,113.14
Carpet Area,6 months,Hosur Road,1 BHK,,469,1.0,1.0,19.42
Carpet Area,1 Year,Sarjapur Road,2 BHK,,1199,2.0,3.0,63.0
Super built-up Area,6 months,Basaveshwara Nagar,4 BHK,,2032,5.0,0.0,133.39
Super built-up Area,Ready To Move,Jayanagar,2 BHK,,1032,2.0,0.0,80.39
Super built-up Area,6 months,HSR Layout,2 BHK,,1337,2.0,0.0,86.01
Built-up Area,Ready To Move,Basaveshwara Nagar,1 BHK,,478,1.0,1.0,36.8
Plot Area,6 months,Mysore Road,3 BHK,,1801,4.0,3.0,73.17
Carpet Area,1 Year,Horamavu,1 BHK,,550,1.0,0.0,23.13
Super built-up Area,Ready To Move,Devanahalli,4 BHK,,1990,5.0,1.0,79.57
Super built-up Area,Ready To Move,Yeshwanthpur,4 BHK,,2251,4.0,1.0,112.65
Built-up Area,1 Year,Koramangala,3 BHK,,2055,3.0,0.0,171.17
Plot Area,Ready To Move,Jayanagar,2 BHK,,1290,2.0,2.0,100.57
Carpet Area,6 months,Hosur Road,4 BHK,,1932,4.0,3.0,74.74
Plot Area,1 Year,HSR Layout,3 BHK,,1987,3.0,0.0,142.17
Plot Area,Ready To Move,Bellandur,2 BHK,,1368,2.0,3.0,86.79
Super built-up Area,1 Year,Yelahanka,3 BHK,,1557,4.0,1.0,74.21
Super built-up Area,Ready To Move,BTM Layout,1 BHK,,533,1.0,3.0,31.73
Super built-up Area,Ready To Move,Bannerghatta Road,2 BHK,,963,3.0,2.0,49.84
Built-up Area,1 Year,Bellandur,3 BHK,,1608,4.0,3.0,88.87
Built-up Area,Ready To Move,Malleswaram,2 BHK,,1236,3.0,0.0,94.3
Built-up Area,6 months,Tumkur Road,3 BHK,,1554,4.0,0.0,53.49
Super built-up Area,6 months,Brookefield,2 BHK,,903,2.0,0.0,49.89
Super built-up Area,Ready To Move,Hosur Road,4 BHK,,2138,4.0,3.0,108.96
Super built-up Area,Ready To Move,Bannerghatta Road,5 BHK,,2816,6.0,0.0,130.5
Plot Area,6 months,Vijayanagar,4 BHK,,2366,5.0,3.0,119.7
Built-up Area,Ready To Move,Yelahanka,2 BHK,,1241,3.0,3.0,66.55
Built-up Area,Ready To Move,Hebbal,2 BHK,,930,3.0,0.0,50.26
Plot Area,1 Year,Horamavu,3 BHK,,1702,4.0,2.0,71.33
Carpet Area,1 Year,BTM Layout,1 BHK,,516,1.0,0.0,30.92
Plot Area,6 months,Vijayanagar,1 BHK,,686,2.0,1.0,43.72
Plot Area,6 months,Sadashivanagar,3 BHK,,1619,3.0,1.0,125.28
Super built-up Area,1 Year,Devanahalli,3 BHK,,1425,3.0,2.0,68.65
Carpet Area,1 Year,Brookefield,5 BHK,,2301,5.0,1.0,137.92
Plot Area,6 months,Tumkur Road,2 BHK,,1032,2.0,2.0,41.5
Carpet Area,6 months,Tumkur Road,2 BHK,,989,2.0,3.0,40.37
Carpet Area,6 months,Tumkur Road,2 BHK,,1224,3.0,1.0,40.23
Super built-up Area,1 Year,Hebbal,4 BHK,,2646,5.0,2.0,141.4
Carpet Area,1 Year,JP Nagar,3 BHK,,1584,4.0,0.0,94.85
Super built-up Area,Ready To Move,Mysore Road,4 BHK,,2377,4.0,1.0,83.96
Built-up Area,6 months,BTM Layout,4 BHK,,2530,5.0,1.0,176.18
Plot Area,Ready To Move,Hebbal,3 BHK,,1648,3.0,2.0,102.53
Super built-up Area,6 months,Whitefield,3 BHK,,1399,4.0,3.0,81.53
Super built-up Area,1 Year,Brookefield,2 BHK,,1014,2.0,2.0,61.92
Plot Area,6 months,Marathahalli,3 BHK,,2012,3.0,2.0,129.37
Super built-up Area,6 months,JP Nagar,3 BHK,,1968,3.0,1.0,140.91
Carpet Area,1 Year,Sadashivanagar,3 BHK,,1414,4.0,2.0,131.53
Super built-up Area,1 Year,Whitefield,4 BHK,,2023,4.0,0.0,113.98
Super built-up Area,6 months,Yeshwanthpur,5 BHK,,3211,5.0,2.0,163.38
Carpet Area,6 months,Bannerghatta Road,3 BHK,,1714,3.0,0.0,81.4
Plot Area,6 months,Sadashivanagar,3 BHK,,1919,3.0,0.0,139.52
Super built-up Area,6 months,Rajajinagar,3 BHK,,1508,4.0,2.0,86.58
Built-up Area,6 months,Kengeri,2 BHK,,1376,2.0,3.0,63.02
Plot Area,1 Year,Hennur,1 BHK,,645,1.0,0.0,34.38
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1498,3.0,0.0,84.96
Built-up Area,1 Year,Indiranagar,3 BHK,,1768,3.0,0.0,152.95
Built-up Area,Ready To Move,Indiranagar,1 BHK,,478,1.0,3.0,38.87
Super built-up Area,Ready To Move,Whitefield,4 BHK,,2161,5.0,2.0,116.48
Carpet Area,6 months,Kanakapura Road,1 BHK,,614,1.0,3.0,31.06
Super built-up Area,Ready To Move,Electronic City,2 BHK,,1065,2.0,2.0,49.2
Built-up Area,1 Year,Jayanagar,3 BHK,,1842,3.0,0.0,142.16
Built-up Area,Ready To Move,Marathahalli,2 BHK,,1022,2.0,1.0,53.1
Carpet Area,Ready To Move,Devanahalli,1 BHK,,630,1.0,0.0,29.92
Plot Area,1 Year,JP Nagar,2 BHK,,1079,2.0,2.0,71.06
Built-up Area,6 months,Tumkur Road,3 BHK,,1942,3.0,3.0,77.46
Super built-up Area,1 Year,Marathahalli,2 BHK,,968,2.0,0.0,47.87
Built-up Area,1 Year,JP Nagar,3 BHK,,1621,4.0,0.0,99.66
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1697,4.0,2.0,92.32
Plot Area,1 Year,Yeshwanthpur,1 BHK,,555,2.0,2.0,30.46
Carpet Area,6 months,Koramangala,5 BHK,,2791,5.0,1.0,244.91
Built-up Area,1 Year,Whitefield,1 BHK,,561,2.0,0.0,36.14
Plot Area,Ready To Move,Yelahanka,5 BHK,,3486,6.0,0.0,172.23
Plot Area,6 months,Malleswaram,3 BHK,,1494,4.0,0.0,108.81
Built-up Area,6 months,Malleswaram,5 BHK,,3210,5.0,1.0,267.78
Built-up Area,Ready To Move,Hosur Road,2 BHK,,1175,2.0,1.0,48.07
Carpet Area,Ready To Move,Sadashivanagar,3 BHK,,1660,3.0,0.0,123.69
Super built-up Area,6 months,Electronic City,2 BHK,,1216,2.0,2.0,51.99
Super built-up Area,Ready To Move,Indiranagar,1 BHK,,663,1.0,3.0,46.27
Carpet Area,1 Year,Yeshwanthpur,3 BHK,,1699,4.0,0.0,99.06
Plot Area,1 Year,Bannerghatta Road,2 BHK,,1332,3.0,0.0,66.65
Plot Area,1 Year,Basaveshwara Nagar,3 BHK,,1420,3.0,0.0,101.32
Carpet Area,Ready To Move,Kanakapura Road,2 BHK,,1226,2.0,2.0,57.72
Super built-up Area,Ready To Move,Indiranagar,2 BHK,,1066,2.0,1.0,87.43
Plot Area,Ready To Move,Whitefield,3 BHK,,1640,3.0,3.0,91.7
Super built-up Area,6 months,Indiranagar,2 BHK,,1185,2.0,3.0,106.08
Plot Area,1 Year,Electronic City,3 BHK,,1709,3.0,1.0,89.92
Super built-up Area,6 months,BTM Layout,3 BHK,,1636,3.0,0.0,92.57
Carpet Area,6 months,Bellandur,4 BHK,,2108,5.0,0.0,123.38
Super built-up Area,6 months,Indiranagar,2 BHK,,1209,2.0,3.0,87.83
Plot Area,1 Year,Whitefield,3 BHK,,1729,3.0,3.0,95.95
Plot Area,1 Year,Electronic City,5 BHK,,2654,5.0,0.0,150.97
Plot Area,1 Year,Devanahalli,3 BHK,,1503,3.0,2.0,58.93
Built-up Area,Ready To Move,Malleswaram,3 BHK,,1930,3.0,0.0,156.43
Built-up Area,1 Year,Bellandur,3 BHK,,1949,4.0,2.0,105.07
Plot Area,Ready To Move,Marathahalli,3 BHK,,1510,3.0,0.0,96.1
Carpet Area,Ready To Move,Kanakapura Road,3 BHK,,1546,3.0,3.0,65.61
Plot Area,Ready To Move,JP Nagar,1 BHK,,509,2.0,0.0,30.59
Carpet Area,1 Year,BTM Layout,2 BHK,,1342,2.0,0.0,83.82
Plot Area,1 Year,BTM Layout,4 BHK,,2574,4.0,1.0,160.5
Plot Area,1 Year,Devanahalli,2 BHK,,937,2.0,0.0,41.01
Carpet Area,1 Year,Jayanagar,3 BHK,,1974,4.0,0.0,145.25
Super built-up Area,6 months,Tumkur Road,2 BHK,,918,2.0,0.0,33.14
Built-up Area,1 Year,Hebbal,3 BHK,,1539,3.0,3.0,91.65
Plot Area,1 Year,Kengeri,1 BHK,,679,2.0,0.0,28.27
Carpet Area,1 Year,Marathahalli,2 BHK,,1332,2.0,2.0,78.77
Carpet Area,1 Year,Hennur,5 BHK,,3226,5.0,2.0,141.14
Built-up Area,1 Year,Uttarahalli,4 BHK,,2257,4.0,0.0,94.78
Built-up Area,6 months,Mysore Road,3 BHK,,1591,4.0,3.0,72.62
Super built-up Area,6 months,HSR Layout,3 BHK,,2011,4.0,2.0,151.12
Plot Area,Ready To Move,Hosur Road,3 BHK,,1842,4.0,0.0,72.55
Built-up Area,Ready To Move,Electronic City,3 BHK,,1571,4.0,0.0,77.04
Super built-up Area,1 Year,Malleswaram,3 BHK,,1697,4.0,2.0,127.3
Plot Area,Ready To Move,Marathahalli,1 BHK,,670,2.0,3.0,35.84
Plot Area,6 months,Hebbal,3 BHK,,2027,4.0,3.0,122.82
Carpet Area,1 Year,BTM Layout,3 BHK,,1844,3.0,2.0,109.99
Built-up Area,Ready To Move,Rajajinagar,5 BHK,,3165,5.0,0.0,181.99
Super built-up Area,Ready To Move,Mysore Road,1 BHK,,459,1.0,3.0,17.12
Super built-up Area,6 months,HSR Layout,3 BHK,,1803,3.0,1.0,114.96
Carpet Area,1 Year,Hebbal,3 BHK,,1866,4.0,0.0,108.23
Super built-up Area,Ready To Move,Marathahalli,2 BHK,,910,2.0,3.0,46.19
Super built-up Area,6 months,Kanakapura Road,2 BHK,,1321,2.0,0.0,51.74
Plot Area,1 Year,Kengeri,2 BHK,,1364,2.0,1.0,50.21
Built-up Area,6 months,Basaveshwara Nagar,2 BHK,,1018,3.0,2.0,76.02
Carpet Area,1 Year,Tumkur Road,2 BHK,,1322,3.0,1.0,55.07
Built-up Area,1 Year,Koramangala,3 BHK,,1849,3.0,0.0,143.08
Super built-up Area,1 Year,Jayanagar,3 BHK,,1785,3.0,2.0,143.09
Super built-up Area,6 months,Hebbal,3 BHK,,1982,3.0,1.0,110.75
Super built-up Area,1 Year,Hosur Road,4 BHK,,2085,4.0,3.0,96.2
Built-up Area,Ready To Move,Brookefield,2 BHK,,1295,2.0,1.0,65.04
Carpet Area,1 Year,Vijayanagar,2 BHK,,1057,3.0,0.0,65.4
Carpet Area,1 Year,Sarjapur Road,3 BHK,,1940,3.0,3.0,93.15
Plot Area,6 months,Tumkur Road,2 BHK,,1125,2.0,1.0,36.99
Carpet Area,1 Year,Tumkur Road,2 BHK,,958,2.0,0.0,34.15
Plot Area,Ready To Move,Yeshwanthpur,2 BHK,,1090,2.0,2.0,71.43
Super built-up Area,Ready To Move,Yeshwanthpur,1 BHK,,508,1.0,1.0,26.41
Carpet Area,1 Year,Uttarahalli,4 BHK,,1900,4.0,2.0,71.42
Plot Area,6 months,Hosur Road,2 BHK,,955,2.0,3.0,40.61
Plot Area,Ready To Move,Hosur Road,3 BHK,,1935,4.0,2.0,94.95
Built-up Area,6 months,Rajajinagar,1 BHK,,670,1.0,0.0,44.16
Super built-up Area,1 Year,Devanahalli,3 BHK,,2045,3.0,3.0,90.35
Carpet Area,6 months,Malleswaram,2 BHK,,1326,2.0,1.0,98.53
Carpet Area,1 Year,Tumkur Road,3 BHK,,1972,4.0,2.0,76.59
Carpet Area,1 Year,Brookefield,2 BHK,,934,2.0,3.0,45.64
Plot Area,6 months,Marathahalli,2 BHK,,1295,3.0,3.0,70.09
Carpet Area,Ready To Move,Hosur Road,3 BHK,,1937,4.0,1.0,96.45
Carpet Area,1 Year,Whitefield,2 BHK,,965,2.0,1.0,59.69
Carpet Area,1 Year,Whitefield,2 BHK,,1231,3.0,1.0,82.42
Super built-up Area,1 Year,Brookefield,2 BHK,,1126,3.0,1.0,68.81
Super built-up Area,Ready To Move,Kanakapura Road,4 BHK,,2700,4.0,2.0,119.73
Plot Area,Ready To Move,Hosur Road,1 BHK,,623,2.0,3.0,29.52
Built-up Area,1 Year,Brookefield,3 BHK,,2063,3.0,1.0,125.65
Carpet Area,Ready To Move,Uttarahalli,2 BHK,,952,2.0,3.0,35.09
Carpet Area,6 months,Hebbal,2 BHK,,920,3.0,3.0,48.51
Plot Area,6 months,JP Nagar,2 BHK,,1386,3.0,0.0,84.85
Carpet Area,6 months,Indiranagar,4 BHK,,1880,5.0,0.0,136.05
Built-up Area,6 months,Marathahalli,2 BHK,,1093,2.0,1.0,57.37
Plot Area,1 Year,Sarjapur Road,1 BHK,,612,1.0,1.0,37.48
Super built-up Area,6 months,Bannerghatta Road,2 BHK,,1340,2.0,0.0,79.89
Built-up Area,Ready To Move,Kanakapura Road,2 BHK,,1027,2.0,3.0,47.5
Carpet Area,1 Year,JP Nagar,2 BHK,,914,2.0,1.0,55.88
Built-up Area,Ready To Move,Hosur Road,3 BHK,,1740,3.0,2.0,72.76
Super built-up Area,6 months,Electronic City,1 BHK,,567,1.0,1.0,28.67
Plot Area,1 Year,Whitefield,1 BHK,,526,1.0,1.0,31.08
Built-up Area,1 Year,Kengeri,3 BHK,,2005,3.0,2.0,88.04
Plot Area,1 Year,Jayanagar,2 BHK,,1274,3.0,1.0,103.51
Plot Area,6 months,Yeshwanthpur,2 BHK,,1329,3.0,3.0,73.76
Carpet Area,Ready To Move,Sadashivanagar,2 BHK,,980,2.0,2.0,76.41
Carpet Area,1 Year,BTM Layout,3 BHK,,1869,4.0,2.0,110.23
Plot Area,Ready To Move,Kanakapura Road,2 BHK,,1387,3.0,0.0,61.25
Super built-up Area,6 months,Basaveshwara Nagar,3 BHK,,1808,4.0,3.0,105.19
Plot Area,6 months,Sadashivanagar,2 BHK,,985,2.0,0.0,93.36
Super built-up Area,Ready To Move,JP Nagar,3 BHK,,2096,3.0,3.0,151.68
Built-up Area,1 Year,Uttarahalli,2 BHK,,1164,3.0,1.0,51.95
Plot Area,Ready To Move,Hennur,3 BHK,,1980,3.0,0.0,103.68
Built-up Area,1 Year,Hosur Road,4 BHK,,1949,5.0,1.0,100.67
Plot Area,1 Year,Hennur,3 BHK,,1849,4.0,1.0,98.05
Built-up Area,Ready To Move,Devanahalli,2 BHK,,1356,3.0,0.0,61.24
Super built-up Area,1 Year,Uttarahalli,2 BHK,,1166,2.0,0.0,41.56
Built-up Area,1 Year,Yeshwanthpur,2 BHK,,1044,2.0,1.0,54.78
Built-up Area,1 Year,Hosur Road,2 BHK,,963,2.0,1.0,37.47
Carpet Area,6 months,Marathahalli,2 BHK,,1047,3.0,3.0,57.34
Plot Area,1 Year,Koramangala,3 BHK,,1616,3.0,1.0,139.05
Plot Area,Ready To Move,Indiranagar,2 BHK,,1254,2.0,2.0,101.28
Plot Area,6 months,Hennur,2 BHK,,989,2.0,1.0,44.86
Plot Area,1 Year,Electronic City,3 BHK,,1429,3.0,1.0,62.44
Carpet Area,6 months,Hennur,3 BHK,,1640,3.0,1.0,67.07
Super built-up Area,Ready To Move,Sadashivanagar,1 BHK,,564,1.0,0.0,46.76
Built-up Area,6 months,Hennur,4 BHK,,2428,5.0,0.0,100.95
Built-up Area,6 months,Kanakapura Road,2 BHK,,1253,2.0,2.0,49.68
Super built-up Area,1 Year,Hennur,3 BHK,,2016,4.0,1.0,92.27
Built-up Area,Ready To Move,Koramangala,3 BHK,,1566,4.0,3.0,123.43
Carpet Area,Ready To Move,Koramangala,3 BHK,,1746,4.0,3.0,124.57
Plot Area,6 months,Tumkur Road,3 BHK,,1624,4.0,1.0,65.56
Plot Area,1 Year,Basaveshwara Nagar,1 BHK,,450,1.0,1.0,29.63
Carpet Area,6 months,Malleswaram,2 BHK,,1189,2.0,1.0,79.82
Plot Area,6 months,Electronic City,3 BHK,,1961,4.0,1.0,101.06
Built-up Area,6 months,Whitefield,2 BHK,,918,2.0,1.0,51.4
Super built-up Area,1 Year,Whitefield,4 BHK,,1803,4.0,0.0,91.31
Super built-up Area,6 months,Kengeri,2 BHK,,1263,2.0,2.0,58.03
Built-up Area,1 Year,Hosur Road,2 BHK,,1241,3.0,0.0,57.04
Super built-up Area,Ready To Move,Koramangala,2 BHK,,1102,2.0,3.0,86.2
Super built-up Area,6 months,Vijayanagar,2 BHK,,1230,2.0,0.0,76.64
Plot Area,Ready To Move,Yeshwanthpur,3 BHK,,2065,3.0,0.0,136.63
Built-up Area,6 months,Devanahalli,3 BHK,,1535,4.0,2.0,60.12
Carpet Area,Ready To Move,Sarjapur Road,3 BHK,,1534,3.0,3.0,90.54
Super built-up Area,1 Year,Malleswaram,4 BHK,,1986,5.0,3.0,167.02
Built-up Area,6 months,HSR Layout,4 BHK,,2523,4.0,1.0,152.45
Carpet Area,6 months,Malleswaram,4 BHK,,2153,5.0,2.0,175.18
Carpet Area,1 Year,Rajajinagar,1 BHK,,697,1.0,0.0,40.88
Plot Area,Ready To Move,Sadashivanagar,3 BHK,,1885,4.0,0.0,165.74
Plot Area,Ready To Move,Kanakapura Road,2 BHK,,1083,2.0,0.0,51.21
Super built-up Area,1 Year,Hennur,2 BHK,,974,2.0,3.0,44.19
Built-up Area,Ready To Move,Sarjapur Road,3 BHK,,1794,4.0,3.0,107.94
Built-up Area,1 Year,Sadashivanagar,2 BHK,,1047,3.0,0.0,97.59
Plot Area,Ready To Move,Electronic City,1 BHK,,676,2.0,3.0,37.74
Plot Area,1 Year,Uttarahalli,2 BHK,,1120,3.0,1.0,41.89
Plot Area,1 Year,Koramangala,1 BHK,,523,1.0,0.0,35.27
Super built-up Area,1 Year,Sarjapur Road,4 BHK,,2388,5.0,0.0,141.0
Built-up Area,1 Year,Basaveshwara Nagar,1 BHK,,484,1.0,1.0,29.95
Super built-up Area,Ready To Move,Rajajinagar,2 BHK,,1180,3.0,3.0,78.87
Built-up Area,6 months,Yelahanka,2 BHK,,928,2.0,0.0,50.31
Plot Area,Ready To Move,Yelahanka,2 BHK,,1203,2.0,1.0,54.48
Super built-up Area,1 Year,Whitefield,4 BHK,,2330,4.0,2.0,128.61
Carpet Area,6 months,JP Nagar,1 BHK,,580,1.0,1.0,35.87
Super built-up Area,6 months,Tumkur Road,3 BHK,,1863,3.0,0.0,66.38
Super built-up Area,Ready To Move,Kanakapura Road,3 BHK,,1383,3.0,1.0,61.51
Carpet Area,1 Year,Sarjapur Road,4 BHK,,2259,4.0,3.0,104.04
Carpet Area,1 Year,Yelahanka,3 BHK,,1683,3.0,0.0,76.12
Plot Area,1 Year,Mysore Road,4 BHK,,2259,4.0,0.0,100.62
Carpet Area,1 Year,Indiranagar,1 BHK,,694,1.0,3.0,54.75
Carpet Area,1 Year,Uttarahalli,2 BHK,,969,2.0,3.0,39.94
Super built-up Area,6 months,Tumkur Road,2 BHK,,1245,2.0,3.0,43.8
Super built-up Area,Ready To Move,Kanakapura Road,4 BHK,,2201,5.0,2.0,103.5
Plot Area,Ready To Move,HSR Layout,2 BHK,,1155,3.0,0.0,92.64
Carpet Area,Ready To Move,Kengeri,2 BHK,,1281,2.0,0.0,53.36
Built-up Area,6 months,Devanahalli,2 BHK,,978,3.0,0.0,43.42
Super built-up Area,6 months,Indiranagar,1 BHK,,640,2.0,1.0,45.8
Plot Area,Ready To Move,Kengeri,2 BHK,,935,2.0,0.0,36.77
Super built-up Area,6 months,Uttarahalli,5 BHK,,2854,6.0,0.0,125.25
Super built-up Area,6 months,Marathahalli,2 BHK,,1271,2.0,3.0,78.66
Built-up Area,Ready To Move,Uttarahalli,3 BHK,,1494,3.0,3.0,59.56
Plot Area,6 months,JP Nagar,3 BHK,,1928,3.0,3.0,136.17
Built-up Area,1 Year,Whitefield,2 BHK,,983,2.0,0.0,51.35
Built-up Area,Ready To Move,Bannerghatta Road,2 BHK,,1299,3.0,3.0,73.47
Plot Area,Ready To Move,Marathahalli,2 BHK,,1134,2.0,2.0,58.98
Carpet Area,Ready To Move,Horamavu,2 BHK,,1242,2.0,3.0,58.33
Built-up Area,Ready To Move,Bannerghatta Road,3 BHK,,2038,3.0,2.0,96.43
